contracts,payment_method,avg_area_act,avg_area_all,avg_area_cyc,avg_act_length,ratio_active,max_active,max_area,age,label
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,47,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,47,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
1,Type.BANK_TRANSFER,0.932,0.08534798534798535,3.3285714285714287,3.5714285714285716,0.09157509157509157,1.0,6.0,38,Label.BAD
1,Type.BANK_TRANSFER,0.7096774193548387,0.08029197080291971,3.6666666666666665,5.166666666666667,0.11313868613138686,0.8,8.399999999999999,38,Label.BAD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,38,Label.BAD
4,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.BAD
4,Type.DIRECT_DEBIT,0.7267241379310344,0.15383211678832115,5.26875,7.25,0.2116788321167883,1.0,9.1,68,Label.BAD
4,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.BAD
3,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,67,Label.GOOD
3,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,67,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,54,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,54,Label.GOOD
3,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,29,Label.BAD
3,Type.DIRECT_DEBIT,0.5899999999999999,0.18369963369963366,10.029999999999998,17.0,0.31135531135531136,2.0,34.0,29,Label.BAD
3,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,29,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,63,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,63,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,65,Label.GOOD
1,Type.CASH,0,0,0,0,0,0,0,37,Label.GOOD
1,Type.CASH,0,0,0,0,0,0,0,37,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,36,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,36,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.AVERAGE
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.AVERAGE
2,Type.DIRECT_DEBIT,0.9630434782608696,0.08083941605839416,7.383333333333333,7.666666666666667,0.08394160583941605,1.0,19.0,26,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,44,Label.GOOD
1,Type.DIRECT_DEBIT,0.898148148148148,0.08850364963503649,3.464285714285714,3.857142857142857,0.09854014598540146,1.0,10.45,40,Label.BAD
1,Type.DIRECT_DEBIT,0.694,0.06332116788321167,2.1687499999999997,3.125,0.09124087591240876,0.7499999999999999,4.899999999999999,40,Label.BAD
1,Type.DIRECT_DEBIT,0.49230769230769195,0.07032967032967027,3.1999999999999975,6.5,0.14285714285714285,0.5999999999999999,7.6999999999999975,40,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,67,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,67,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,68,Label.GOOD
1,Type.DIRECT_DEBIT,0.7824742268041236,0.27700729927007295,15.179999999999998,19.4,0.354014598540146,2.0,49.5,65,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,65,Label.BAD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,55,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,55,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,55,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,1.0,0.0036496350364963502,1.0,1.0,0.0036496350364963502,1.0,1.0,44,Label.BAD
1,Type.DIRECT_DEBIT,0.8476744186046512,0.13302919708029198,4.55625,5.375,0.15693430656934307,1.0,18.900000000000002,44,Label.BAD
1,Type.DIRECT_DEBIT,0.5653846153846154,0.02692307692307692,1.8375,3.25,0.047619047619047616,0.6,2.75,44,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,44,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,59,Label.GOOD
1,Type.DIRECT_DEBIT,1.0,0.0036496350364963502,1.0,1.0,0.0036496350364963502,1.0,1.0,59,Label.AVERAGE
1,Type.DIRECT_DEBIT,1.0,0.032846715328467155,2.25,2.25,0.032846715328467155,1.0,4.0,59,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.95,0.0173992673992674,2.375,2.5,0.018315018315018316,0.95,2.8499999999999996,59,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.9,0.016363636363636365,1.125,1.25,0.01818181818181818,0.9,1.8,59,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,27,Label.GOOD
1,Type.CASH,0,0,0,0,0,0,0,63,Label.GOOD
1,Type.CASH,0,0,0,0,0,0,0,63,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,50,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,28,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,28,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,45,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,45,Label.BAD
1,Type.DIRECT_DEBIT,0.9600000000000001,0.05274725274725275,7.2,7.5,0.054945054945054944,1.0,9.0,45,Label.BAD
1,Type.DIRECT_DEBIT,0.6223214285714286,0.14224489795918369,5.808333333333334,9.333333333333334,0.22857142857142856,0.85,15.299999999999999,45,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,25,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,25,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,36,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,36,Label.GOOD
2,Type.BANK_TRANSFER,0,0,0,0,0,0,0,34,Label.GOOD
2,Type.BANK_TRANSFER,0,0,0,0,0,0,0,34,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,67,Label.BAD
2,Type.DIRECT_DEBIT,0.9923076923076922,0.047080291970802914,2.5799999999999996,2.6,0.04744525547445255,1.0,7.0,67,Label.BAD
2,Type.DIRECT_DEBIT,0.8690476190476191,0.06684981684981685,3.0416666666666665,3.5,0.07692307692307693,0.95,5.95,67,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,26,Label.BAD
1,Type.DIRECT_DEBIT,0.641025641025641,0.1824817518248175,5.5555555555555545,8.666666666666666,0.2846715328467153,1.0,16.15,61,Label.BAD
1,Type.DIRECT_DEBIT,0.09736842105263137,0.006751824817518233,0.9249999999999979,9.5,0.06934306569343066,0.14999999999999986,1.3499999999999988,61,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,61,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,61,Label.BAD
1,Type.CASH,0.8585365853658535,0.1284671532846715,5.028571428571428,5.857142857142857,0.14963503649635038,1.0,10.45,36,Label.BAD
1,Type.CASH,0.463333333333333,0.07609489051094885,2.9785714285714264,6.428571428571429,0.16423357664233576,0.6499999999999998,6.599999999999998,36,Label.BAD
1,Type.CASH,0.13387096774193477,0.015201465201465121,0.5928571428571398,4.428571428571429,0.11355311355311355,0.1999999999999993,1.5999999999999888,36,Label.BAD
1,Type.CASH,0,0,0,0,0,0,0,36,Label.BAD
1,Type.DIRECT_DEBIT,0.9089285714285715,0.09288321167883212,3.1812500000000004,3.5,0.10218978102189781,1.0,7.6499999999999995,36,Label.BAD
1,Type.DIRECT_DEBIT,0.5986842105263158,0.08302919708029197,2.5277777777777777,4.222222222222222,0.1386861313868613,0.75,7.0,36,Label.BAD
1,Type.DIRECT_DEBIT,0.37954545454545463,0.030586080586080592,1.3916666666666668,3.6666666666666665,0.08058608058608059,0.45,2.7,36,Label.BAD
1,Type.DIRECT_DEBIT,0.13620689655172413,0.014363636363636363,0.6583333333333333,4.833333333333333,0.10545454545454545,0.25,1.5,36,Label.BAD
1,Type.DIRECT_DEBIT,0.99375,0.029014598540145986,1.9875,2.0,0.029197080291970802,1.0,4.0,56,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.9346153846153847,0.04434306569343067,1.5187500000000003,1.625,0.04744525547445255,0.95,3.8,56,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.9,0.016483516483516484,1.125,1.25,0.018315018315018316,0.9,1.8,56,Label.AVERAGE
1,Type.DIRECT_DEBIT,0.875,0.019090909090909092,1.75,2.0,0.02181818181818182,0.9,2.7,56,Label.AVERAGE
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,46,Label.GOOD
1,Type.DIRECT_DEBIT,0.9928571428571429,0.025364963503649637,2.316666666666667,2.3333333333333335,0.025547445255474453,1.0,4.0,65,Label.BAD
1,Type.DIRECT_DEBIT,0.9499999999999998,0.010401459854014597,1.4249999999999998,1.5,0.010948905109489052,0.95,1.9,65,Label.BAD
1,Type.DIRECT_DEBIT,0.8999999999999999,0.03626373626373626,1.4142857142857141,1.5714285714285714,0.040293040293040296,0.95,2.8499999999999996,65,Label.BAD
1,Type.DIRECT_DEBIT,0.6802325581395348,0.11699999999999997,4.874999999999999,7.166666666666667,0.172,0.85,8.0,65,Label.BAD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,35,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,35,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,35,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,57,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,57,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,33,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,39,Label.GOOD
1,Type.DIRECT_DEBIT,0.8464285714285713,0.1302197802197802,8.8875,10.5,0.15384615384615385,1.0,14.25,38,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,38,Label.BAD
1,Type.DIRECT_DEBIT,0.5999999999999999,0.010948905109489048,0.9999999999999997,1.6666666666666667,0.01824817518248175,0.5999999999999999,1.1999999999999997,38,Label.BAD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,61,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,61,Label.GOOD
2,Type.BANK_TRANSFER,0,0,0,0,0,0,0,65,Label.BAD
2,Type.BANK_TRANSFER,0,0,0,0,0,0,0,65,Label.BAD
2,Type.BANK_TRANSFER,0.8157407407407405,0.1607664233576642,5.506249999999999,6.75,0.19708029197080293,1.0,10.8,65,Label.BAD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,49,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,49,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,49,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,49,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,54,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,42,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,42,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,42,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,42,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,57,Label.GOOD
1,Type.BANK_TRANSFER,0,0,0,0,0,0,0,57,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,59,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,59,Label.GOOD
2,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,66,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,54,Label.GOOD
1,Type.DIRECT_DEBIT,0,0,0,0,0,0,0,54,Label.GOOD
